part,week,date,mon_id,wed_id,fri_id,hwpa,lab,exam
Part 1: Reasoning About Code,1,2026-09-07,,lecture-01,lecture-02,,,
Part 1: Reasoning About Code,2,2026-09-14,lecture-03,lecture-04,lecture-05,,lab-01,
Part 2: Classic Data Structures,3,2026-09-21,lecture-06,lecture-07,lecture-08,HW1,lab-02,Examlet 1
Part 2: Classic Data Structures,4,2026-09-28,lecture-09,,lecture-10,,lab-03,Examlet 2
Part 2: Classic Data Structures,5,2026-10-05,lecture-11,lecture-12,lecture-13,PA1,lab-04,Examlet 3
Part 2: Classic Data Structures,6,2026-10-12,,lecture-14,lecture-15,,,
Part 2: Classic Data Structures,7,2026-10-19,lecture-16,lecture-17,lecture-18,HW2,lab-05,Examlet 4
Part 2: Classic Data Structures,8,2026-10-26,lecture-19,lecture-20,lecture-21,,lab-06,Examlet 5
Part 2: Classic Data Structures,9,2026-11-02,lecture-22,lecture-23,lecture-24,PA2,lab-07,Examlet 6
Part 2: Classic Data Structures,10,2026-11-09,,,lecture-25,,,
Part 3: Graph Algorithms,11,2026-11-16,lecture-26,lecture-27,lecture-28,,lab-08,Examlet 7
Part 3: Graph Algorithms,12,2026-11-23,lecture-29,lecture-30,lecture-31,PA3,lab-09,Examlet 8
Part 3: Graph Algorithms,13,2026-11-30,lecture-32,lecture-33,lecture-34,HW3,lab-10,Examlet 9
Part 3: Graph Algorithms,14,2026-12-07,lecture-35,,,,,
